epoch,training_acc,training_loss,L2
1,3.6,1795.02,871.0
2,4.29,1792.46,902.0
3,5.6,1787.67,939.0
4,6.22,1784.52,972.0
5,6.34,1781.85,997.0
6,6.95,1779.87,1026.0
7,7.83,1777.56,1053.0
8,8.22,1775.43,1079.0
9,8.56,1773.68,1103.0
10,9.29,1772.09,1128.0
11,9.05,1769.49,1155.0
12,10.11,1767.92,1178.0
13,10.44,1766.05,1202.0
14,10.65,1764.45,1227.0
15,10.81,1762.19,1253.0
16,11.28,1760.04,1279.0
17,11.18,1758.35,1305.0
18,11.74,1757.25,1329.0
19,12.04,1754.82,1352.0
20,12.26,1753.27,1375.0
21,12.24,1751.22,1399.0
22,12.94,1748.96,1422.0
23,13.04,1747.69,1445.0
24,12.87,1745.47,1466.0
25,13.56,1743.99,1489.0
26,13.39,1742.49,1510.0
27,13.78,1740.78,1532.0
28,13.73,1739.22,1556.0
29,13.7,1737.94,1578.0
30,14.08,1735.99,1600.0
31,14.2,1734.87,1620.0
32,14.01,1733.63,1641.0
33,14.04,1732.61,1663.0
34,14.55,1730.9,1683.0
35,14.65,1729.12,1702.0
36,14.6,1728.42,1723.0
37,14.69,1727.31,1744.0
38,14.74,1726.01,1762.0
39,14.02,1725.09,1782.0
40,14.8,1724.57,1803.0
41,14.85,1723.22,1823.0
42,15.03,1721.57,1844.0
43,15.28,1719.72,1863.0
44,15.52,1718.41,1883.0
45,15.19,1717.04,1903.0
46,15.45,1715.37,1921.0
47,15.7,1714.94,1941.0
48,15.5,1713.36,1960.0
49,15.32,1711.98,1978.0
50,15.64,1711.2,1997.0
51,15.79,1709.89,2017.0
52,15.69,1708.93,2035.0
53,16.07,1707.85,2052.0
54,15.7,1707.23,2071.0
55,15.86,1705.76,2088.0
56,15.86,1705.11,2105.0
57,15.64,1704.33,2124.0
58,16.1,1704.21,2143.0
59,16.22,1702.84,2162.0
60,16.38,1701.83,2179.0
61,16.31,1701.28,2197.0
62,15.79,1699.95,2215.0
63,16.75,1699.5,2232.0
64,16.22,1698.48,2248.0
65,16.4,1698.05,2268.0
66,16.55,1697.13,2284.0
67,16.49,1697.4,2301.0
68,16.61,1696.19,2316.0
69,16.57,1695.1,2332.0
70,16.25,1695.04,2349.0
71,16.5,1694.35,2365.0
72,16.47,1694.0,2383.0
73,16.38,1692.93,2400.0
74,16.12,1692.31,2416.0
75,16.17,1692.15,2434.0
76,16.37,1691.67,2451.0
77,16.38,1691.12,2467.0
78,16.22,1690.83,2485.0
79,16.65,1690.33,2502.0
80,16.48,1689.78,2517.0
81,16.83,1689.49,2534.0
82,16.46,1688.63,2548.0
83,16.42,1688.52,2563.0
84,16.67,1688.32,2579.0
85,16.35,1687.49,2597.0
86,16.72,1687.04,2611.0
87,16.78,1686.31,2625.0
88,17.17,1685.9,2642.0
89,16.62,1685.55,2659.0
90,16.5,1685.71,2675.0
91,16.28,1685.49,2692.0
92,16.76,1684.83,2707.0
93,16.67,1683.91,2723.0
94,16.53,1683.78,2739.0
95,16.93,1683.34,2754.0
96,16.75,1682.29,2766.0
97,17.1,1682.89,2782.0
98,16.77,1682.76,2800.0
99,16.71,1682.4,2815.0
