epoch,training_acc,training_loss,L2
1,3.71,1795.86,866.0
2,4.18,1790.28,910.0
3,4.22,1787.32,938.0
4,6.15,1784.99,959.0
5,6.52,1782.62,982.0
6,6.25,1781.79,1004.0
7,6.01,1780.74,1026.0
8,6.61,1779.49,1050.0
9,7.06,1778.11,1073.0
10,6.44,1777.62,1097.0
11,8.09,1775.59,1121.0
12,7.93,1773.85,1144.0
13,8.31,1772.24,1167.0
14,8.93,1770.7,1191.0
15,8.63,1769.72,1212.0
16,8.81,1769.65,1234.0
17,9.04,1767.12,1256.0
18,9.42,1765.13,1279.0
19,9.94,1764.05,1299.0
20,10.17,1762.57,1322.0
21,10.47,1761.56,1342.0
22,10.33,1760.06,1363.0
23,10.2,1758.62,1382.0
24,10.5,1757.9,1405.0
25,10.26,1757.12,1424.0
26,10.82,1755.56,1444.0
27,11.08,1754.03,1465.0
28,11.3,1753.18,1485.0
29,11.56,1751.75,1506.0
30,10.71,1751.23,1526.0
31,11.45,1750.16,1547.0
32,11.74,1747.58,1567.0
33,11.69,1745.83,1586.0
34,12.18,1745.98,1607.0
35,12.38,1743.91,1627.0
36,12.53,1742.54,1646.0
37,12.77,1740.31,1667.0
38,12.38,1739.17,1685.0
39,12.92,1738.65,1705.0
40,12.93,1736.94,1726.0
41,12.65,1735.1,1745.0
42,13.31,1734.4,1764.0
43,13.18,1732.86,1783.0
44,13.14,1731.88,1801.0
45,13.02,1730.76,1820.0
46,13.39,1729.51,1838.0
47,13.53,1728.56,1856.0
48,13.36,1728.01,1873.0
49,13.2,1726.49,1892.0
50,13.35,1726.55,1911.0
51,13.44,1724.15,1929.0
52,13.55,1723.15,1946.0
53,13.59,1722.51,1964.0
54,13.59,1722.65,1982.0
55,13.51,1721.6,2000.0
56,13.41,1720.53,2018.0
57,13.94,1718.73,2035.0
58,14.23,1717.16,2051.0
59,13.97,1717.2,2069.0
60,14.05,1715.16,2086.0
61,14.15,1715.51,2104.0
62,14.33,1714.58,2122.0
63,14.3,1713.28,2139.0
64,14.12,1712.37,2155.0
65,14.32,1711.46,2172.0
66,14.41,1710.67,2188.0
67,14.59,1709.47,2203.0
68,14.67,1708.77,2219.0
69,14.86,1707.81,2237.0
70,14.59,1707.39,2253.0
71,14.65,1706.68,2267.0
72,15.21,1705.49,2283.0
73,15.31,1704.72,2299.0
74,15.13,1703.75,2317.0
75,15.18,1703.53,2333.0
76,14.9,1702.31,2346.0
77,15.07,1702.32,2362.0
78,15.02,1701.47,2378.0
79,15.22,1701.64,2398.0
80,15.46,1700.44,2414.0
81,15.5,1698.92,2431.0
82,15.54,1697.99,2445.0
83,15.77,1697.2,2461.0
84,15.46,1695.19,2474.0
85,15.92,1695.79,2491.0
86,15.67,1694.32,2507.0
87,15.49,1694.12,2523.0
88,15.44,1693.64,2536.0
89,16.05,1693.1,2551.0
90,15.43,1691.68,2566.0
91,15.74,1693.08,2583.0
92,16.1,1692.55,2601.0
93,15.78,1691.05,2615.0
94,15.93,1690.77,2629.0
95,15.67,1691.14,2645.0
96,15.98,1689.39,2659.0
97,15.75,1689.17,2675.0
98,16.02,1689.43,2690.0
99,16.08,1688.73,2704.0
