epoch,training_acc,training_loss,L2
1,17.37,1546.08,18837.0
2,21.65,1277.02,18256.0
3,25.14,1134.17,17883.0
4,27.37,1012.52,17517.0
5,28.88,898.14,17161.0
6,28.53,782.31,16824.0
7,29.57,661.57,16508.0
8,29.09,540.28,16216.0
9,29.32,420.79,15944.0
10,28.76,318.48,15685.0
11,28.71,238.25,15434.0
12,28.13,173.63,15185.0
13,28.06,132.73,14936.0
14,28.69,121.24,14692.0
15,27.72,104.47,14449.0
16,28.82,88.77,14204.0
17,28.17,94.58,13969.0
18,28.86,87.71,13738.0
19,28.48,71.56,13504.0
20,28.21,75.2,13277.0
21,28.55,73.54,13055.0
22,28.96,77.15,12842.0
23,29.28,64.0,12628.0
24,28.98,62.16,12418.0
25,29.63,54.74,12208.0
26,29.46,59.45,12005.0
27,29.82,59.19,11809.0
28,29.67,62.53,11623.0
29,29.28,47.88,11433.0
30,29.03,53.53,11251.0
31,29.57,55.45,11077.0
32,29.0,52.32,10908.0
33,30.0,42.72,10737.0
34,29.65,45.53,10570.0
35,30.12,47.79,10413.0
36,29.85,45.63,10259.0
37,29.62,47.57,10111.0
38,29.52,52.09,9973.0
39,29.72,40.73,9833.0
40,30.35,28.38,9683.0
41,29.71,39.85,9543.0
42,29.52,54.15,9423.0
43,30.38,47.07,9304.0
44,30.48,34.3,9179.0
45,30.8,30.71,9052.0
46,29.95,35.02,8930.0
47,29.83,54.57,8830.0
48,30.35,39.1,8722.0
49,30.99,24.45,8601.0
50,30.33,22.55,8476.0
51,29.32,43.92,8376.0
52,30.07,48.49,8286.0
53,30.4,37.67,8192.0
54,30.88,27.59,8089.0
55,30.1,29.32,7990.0
56,29.41,38.69,7901.0
57,30.48,35.78,7812.0
58,30.18,36.93,7728.0
59,30.86,30.88,7641.0
60,30.3,23.89,7546.0
61,30.3,30.04,7459.0
62,30.46,43.4,7389.0
63,30.96,33.83,7313.0
64,31.21,22.96,7227.0
65,30.9,21.26,7137.0
66,30.39,43.19,7073.0
67,31.16,39.6,7010.0
68,30.94,26.79,6937.0
69,30.95,20.41,6856.0
70,30.51,23.56,6778.0
71,30.41,34.91,6714.0
72,31.05,45.0,6664.0
73,31.26,23.96,6596.0
74,31.94,15.13,6517.0
75,30.4,21.98,6444.0
76,29.3,44.65,6398.0
77,30.6,39.72,6351.0
78,31.07,22.89,6290.0
79,31.72,14.42,6216.0
80,30.36,25.61,6152.0
81,30.62,40.0,6111.0
82,30.81,35.11,6065.0
83,31.49,22.48,6008.0
84,31.7,21.48,5949.0
85,30.61,24.68,5894.0
86,30.72,28.04,5844.0
87,30.63,34.16,5803.0
88,31.15,28.84,5758.0
89,30.95,25.12,5709.0
90,31.14,20.31,5655.0
91,30.33,31.63,5614.0
92,30.68,31.74,5574.0
93,31.06,21.9,5525.0
94,31.08,28.38,5484.0
95,30.77,31.83,5448.0
96,31.28,20.85,5401.0
97,31.1,17.6,5350.0
98,30.39,33.18,5316.0
99,30.58,34.0,5285.0
