epoch,training_acc,training_loss,L2
1,16.02,1550.93,18833.0
2,22.06,1294.86,18248.0
3,25.38,1150.38,17873.0
4,27.34,1033.4,17505.0
5,28.93,917.68,17146.0
6,29.09,804.39,16804.0
7,28.96,686.63,16487.0
8,29.05,564.08,16192.0
9,28.7,448.93,15919.0
10,28.74,343.26,15661.0
11,28.67,255.5,15411.0
12,28.0,188.07,15165.0
13,28.73,140.2,14919.0
14,27.9,120.15,14673.0
15,28.46,109.18,14432.0
16,28.24,97.86,14193.0
17,27.94,93.75,13959.0
18,28.19,78.7,13725.0
19,27.91,72.97,13491.0
20,28.29,81.2,13268.0
21,28.17,79.12,13051.0
22,28.0,69.13,12836.0
23,28.6,69.5,12626.0
24,29.0,58.08,12415.0
25,29.62,54.15,12204.0
26,28.66,60.33,12002.0
27,28.31,63.56,11808.0
28,28.6,62.03,11621.0
29,29.41,54.01,11437.0
30,29.16,46.42,11251.0
31,29.62,50.08,11071.0
32,28.72,57.53,10903.0
33,29.39,52.01,10740.0
34,29.27,43.03,10574.0
35,29.25,46.32,10415.0
36,29.61,49.91,10264.0
37,29.33,50.68,10121.0
38,29.63,42.79,9977.0
39,29.64,29.91,9823.0
40,29.01,35.67,9675.0
41,29.85,64.53,9557.0
42,29.99,44.45,9432.0
43,30.47,30.65,9299.0
44,30.48,31.06,9167.0
45,29.34,43.39,9049.0
46,29.77,44.54,8938.0
47,29.66,32.95,8820.0
48,29.99,38.62,8709.0
49,29.68,34.25,8597.0
50,29.6,42.08,8497.0
51,30.44,33.9,8392.0
52,30.07,32.27,8287.0
53,29.84,36.23,8189.0
54,30.47,42.17,8100.0
55,30.51,30.12,8003.0
56,30.46,29.29,7904.0
57,30.16,35.85,7815.0
58,29.53,35.76,7728.0
59,30.24,31.03,7641.0
60,30.23,26.4,7550.0
61,29.43,28.43,7460.0
62,29.95,40.09,7387.0
63,30.39,35.62,7311.0
64,30.04,27.29,7232.0
65,29.89,29.72,7155.0
66,30.22,31.09,7081.0
67,29.04,30.32,7008.0
68,30.06,30.53,6937.0
69,30.08,27.24,6866.0
70,30.05,22.5,6788.0
71,30.2,36.57,6727.0
72,30.64,37.9,6670.0
73,30.05,28.79,6606.0
74,30.77,23.19,6538.0
75,30.88,16.82,6461.0
76,30.02,31.41,6400.0
77,30.04,45.92,6357.0
78,30.8,30.56,6303.0
79,31.5,17.7,6235.0
80,30.57,16.81,6162.0
81,30.34,28.1,6104.0
82,29.87,45.23,6067.0
83,31.44,27.96,6016.0
84,30.96,21.06,5957.0
85,29.99,26.05,5904.0
86,30.34,30.3,5856.0
87,31.06,22.79,5802.0
88,30.44,23.67,5749.0
89,30.24,35.09,5711.0
90,31.32,31.11,5667.0
91,31.51,20.3,5615.0
92,30.86,18.68,5560.0
93,30.21,26.57,5515.0
94,29.56,33.09,5478.0
95,30.51,30.72,5440.0
96,31.25,23.46,5395.0
97,30.82,24.57,5352.0
98,30.79,30.73,5316.0
99,30.81,19.97,5270.0
