epoch,training_acc,training_loss,L2
1,4.48,1798.37,1723.0
2,5.36,1789.87,1758.0
3,5.7,1785.93,1774.0
4,5.92,1784.62,1787.0
5,6.75,1782.72,1799.0
6,6.95,1780.53,1813.0
7,7.19,1778.8,1827.0
8,7.63,1777.23,1841.0
9,8.12,1775.84,1855.0
10,8.57,1773.81,1867.0
11,8.29,1772.5,1880.0
12,8.73,1771.19,1892.0
13,8.92,1770.15,1904.0
14,9.01,1769.16,1915.0
15,9.11,1768.39,1926.0
16,9.11,1767.23,1937.0
17,9.22,1766.08,1948.0
18,9.58,1765.19,1958.0
19,9.67,1764.25,1969.0
20,9.62,1763.03,1979.0
21,9.88,1762.6,1989.0
22,9.89,1760.95,2000.0
23,9.87,1759.71,2011.0
24,10.14,1758.84,2021.0
25,10.44,1757.89,2032.0
26,10.6,1756.78,2042.0
27,10.49,1755.99,2052.0
28,10.63,1754.75,2062.0
29,10.86,1754.09,2072.0
30,10.67,1753.29,2082.0
31,10.84,1752.63,2093.0
32,10.88,1751.44,2103.0
33,11.07,1750.41,2115.0
34,11.27,1749.31,2126.0
35,11.19,1748.37,2137.0
36,11.04,1747.29,2147.0
37,11.52,1746.12,2159.0
38,11.73,1744.96,2170.0
39,11.38,1743.65,2180.0
40,11.76,1742.47,2191.0
41,11.82,1741.58,2203.0
42,11.87,1740.34,2214.0
43,12.02,1739.5,2225.0
44,12.03,1738.28,2237.0
45,12.25,1736.75,2247.0
46,12.17,1735.74,2259.0
47,12.41,1735.21,2269.0
48,12.59,1734.08,2280.0
49,12.29,1733.72,2292.0
50,12.56,1732.37,2302.0
51,12.38,1731.7,2314.0
52,12.55,1730.64,2324.0
53,12.45,1730.02,2336.0
54,12.24,1728.86,2347.0
55,12.79,1728.47,2358.0
56,12.79,1727.56,2369.0
57,12.57,1726.42,2380.0
58,12.9,1725.93,2391.0
59,12.58,1725.19,2402.0
60,12.88,1724.55,2413.0
61,12.66,1723.27,2424.0
62,12.72,1722.54,2434.0
63,12.94,1721.8,2446.0
64,12.85,1720.89,2456.0
65,12.98,1720.39,2467.0
66,12.89,1719.6,2478.0
67,12.99,1718.88,2489.0
68,12.92,1718.78,2500.0
69,12.8,1717.28,2511.0
70,13.04,1716.54,2522.0
71,13.31,1715.62,2532.0
72,13.16,1714.94,2544.0
73,13.13,1713.75,2554.0
74,12.88,1713.33,2566.0
75,12.94,1712.04,2577.0
76,12.92,1711.69,2588.0
77,13.32,1710.88,2598.0
78,13.43,1709.63,2609.0
79,13.56,1709.04,2620.0
80,13.41,1708.05,2630.0
81,13.3,1708.27,2641.0
82,13.25,1707.16,2652.0
83,13.42,1706.86,2662.0
84,13.21,1706.03,2672.0
85,13.19,1705.57,2683.0
86,13.14,1704.35,2693.0
87,13.21,1703.92,2703.0
88,13.38,1703.88,2714.0
89,13.49,1702.82,2724.0
90,13.59,1701.85,2734.0
91,13.16,1701.64,2744.0
92,13.11,1700.85,2754.0
93,13.44,1700.56,2765.0
94,13.41,1699.95,2775.0
95,13.21,1699.56,2786.0
96,13.69,1699.67,2796.0
97,13.32,1697.91,2805.0
98,13.43,1697.72,2815.0
99,13.39,1697.73,2826.0
