epoch,training_acc,training_loss,L2
1,4.11,1798.45,1719.0
2,4.34,1792.93,1744.0
3,5.12,1788.97,1767.0
4,5.76,1786.72,1785.0
5,6.13,1784.46,1803.0
6,6.78,1781.73,1820.0
7,6.69,1779.95,1833.0
8,7.47,1778.4,1847.0
9,7.23,1777.71,1858.0
10,7.55,1776.59,1870.0
11,7.78,1774.86,1881.0
12,7.84,1773.88,1892.0
13,8.22,1773.18,1903.0
14,8.11,1771.59,1915.0
15,8.82,1770.53,1926.0
16,8.66,1769.07,1937.0
17,9.01,1768.14,1948.0
18,8.92,1767.22,1958.0
19,9.26,1765.61,1969.0
20,9.43,1764.38,1980.0
21,9.29,1763.31,1990.0
22,9.67,1762.58,2000.0
23,9.77,1761.38,2010.0
24,9.63,1760.98,2021.0
25,9.93,1760.37,2031.0
26,10.04,1758.94,2042.0
27,10.46,1757.59,2053.0
28,10.52,1756.26,2063.0
29,10.46,1755.58,2074.0
30,10.61,1753.69,2084.0
31,10.84,1752.39,2095.0
32,10.95,1751.41,2105.0
33,11.07,1750.72,2117.0
34,11.18,1749.51,2127.0
35,11.52,1748.43,2138.0
36,11.44,1747.18,2149.0
37,12.1,1745.85,2160.0
38,11.93,1744.32,2171.0
39,11.8,1743.24,2182.0
40,12.16,1742.31,2193.0
41,11.88,1741.63,2204.0
42,12.33,1740.23,2216.0
43,12.35,1739.22,2228.0
44,12.64,1737.89,2239.0
45,12.72,1736.83,2251.0
46,12.55,1735.81,2263.0
47,13.08,1734.83,2275.0
48,12.76,1733.3,2287.0
49,13.0,1732.93,2299.0
50,13.01,1731.53,2311.0
51,13.44,1731.02,2323.0
52,13.53,1729.2,2335.0
53,13.61,1728.16,2347.0
54,13.89,1726.84,2359.0
55,13.81,1725.27,2371.0
56,13.86,1725.17,2383.0
57,13.89,1723.31,2394.0
58,13.86,1722.32,2406.0
59,14.13,1722.03,2418.0
60,14.25,1721.06,2430.0
61,13.89,1719.75,2442.0
62,14.18,1718.51,2454.0
63,14.39,1718.0,2465.0
64,14.21,1717.11,2477.0
65,14.24,1716.1,2489.0
66,14.3,1715.16,2500.0
67,14.25,1714.08,2511.0
68,14.24,1713.28,2523.0
69,14.41,1712.59,2535.0
70,14.37,1711.08,2546.0
71,14.36,1710.99,2558.0
72,14.78,1710.92,2570.0
73,14.38,1709.48,2581.0
74,14.58,1708.46,2592.0
75,14.3,1707.77,2603.0
76,14.68,1706.99,2614.0
77,14.58,1705.99,2625.0
78,14.77,1705.64,2637.0
79,14.91,1705.66,2649.0
80,15.11,1704.6,2660.0
81,14.83,1703.51,2672.0
82,15.08,1702.64,2683.0
83,14.98,1701.61,2694.0
84,15.11,1700.37,2705.0
85,14.84,1700.34,2717.0
86,14.91,1699.56,2728.0
87,14.88,1698.34,2739.0
88,15.06,1697.62,2751.0
89,14.98,1697.2,2762.0
90,14.8,1696.47,2773.0
91,15.14,1695.57,2784.0
92,15.35,1695.55,2796.0
93,15.1,1695.51,2809.0
94,15.18,1694.17,2820.0
95,15.04,1693.67,2831.0
96,15.05,1692.49,2842.0
97,15.26,1692.34,2854.0
98,15.15,1690.96,2865.0
99,15.14,1690.78,2876.0
