epoch,training_acc,training_loss,L2
1,34.59,852.35,851.0
2,38.52,811.69,889.0
3,46.53,791.03,922.0
4,49.09,779.81,954.0
5,49.38,769.17,985.0
6,52.23,758.52,1015.0
7,54.75,750.31,1043.0
8,56.37,743.38,1071.0
9,57.04,734.81,1101.0
10,58.41,727.37,1130.0
11,60.06,721.68,1158.0
12,60.75,714.0,1186.0
13,62.43,707.03,1215.0
14,63.88,700.04,1245.0
15,64.91,694.07,1274.0
16,65.85,688.11,1302.0
17,66.24,682.03,1331.0
18,66.81,676.25,1360.0
19,67.38,670.59,1389.0
20,67.55,665.94,1416.0
21,67.41,661.28,1443.0
22,68.2,656.96,1472.0
23,67.19,651.18,1497.0
24,68.7,646.96,1522.0
25,69.28,643.91,1547.0
26,68.57,639.59,1571.0
27,69.64,636.69,1595.0
28,69.92,633.04,1617.0
29,68.49,630.42,1639.0
30,69.78,628.37,1660.0
31,70.05,626.81,1682.0
32,69.95,625.18,1702.0
33,70.13,623.35,1724.0
34,70.3,622.32,1744.0
35,69.99,620.37,1764.0
36,69.66,618.09,1782.0
37,69.76,618.15,1803.0
38,70.28,616.67,1822.0
39,69.78,615.13,1840.0
40,70.11,614.93,1859.0
41,70.43,614.17,1878.0
42,70.38,613.85,1898.0
43,70.36,612.63,1917.0
44,70.13,610.89,1933.0
45,70.63,610.48,1949.0
46,70.5,610.92,1969.0
47,70.43,610.45,1988.0
48,71.2,610.3,2009.0
49,71.24,608.85,2026.0
50,70.35,608.49,2046.0
51,70.66,608.06,2064.0
52,71.37,606.88,2081.0
53,70.7,606.8,2097.0
54,71.0,606.22,2114.0
55,70.75,605.7,2130.0
56,69.63,605.79,2148.0
57,70.94,605.9,2169.0
58,71.41,605.43,2187.0
59,70.92,604.73,2204.0
60,70.9,604.32,2222.0
61,70.6,603.92,2241.0
62,71.53,603.45,2257.0
63,71.46,602.05,2271.0
64,71.18,602.32,2288.0
65,71.06,602.74,2306.0
66,71.83,601.31,2321.0
67,71.76,601.08,2336.0
68,70.99,601.53,2354.0
69,71.59,601.27,2372.0
70,71.27,601.43,2390.0
71,71.46,600.69,2405.0
72,71.78,600.63,2423.0
73,70.81,599.93,2438.0
74,70.83,600.09,2455.0
75,71.32,599.88,2473.0
76,71.11,599.67,2491.0
77,71.03,599.19,2507.0
78,71.13,598.8,2523.0
79,71.45,599.29,2541.0
80,71.06,599.06,2557.0
81,71.21,598.93,2575.0
82,70.42,599.17,2594.0
83,71.58,598.09,2611.0
84,71.72,597.17,2623.0
85,71.56,597.43,2638.0
86,70.9,597.63,2655.0
87,71.35,597.36,2671.0
88,71.82,596.91,2685.0
89,70.33,597.47,2703.0
90,71.11,597.87,2722.0
91,71.51,597.31,2739.0
92,71.89,596.31,2752.0
93,71.84,596.88,2768.0
94,71.85,596.93,2787.0
95,71.22,597.05,2805.0
96,71.73,596.56,2822.0
97,71.61,596.56,2838.0
98,71.29,596.1,2852.0
99,72.2,595.78,2867.0
