epoch,training_acc,training_loss,L2
1,38.09,843.85,856.0
2,41.42,807.9,888.0
3,44.78,792.17,918.0
4,44.83,780.3,946.0
5,50.38,771.34,975.0
6,51.81,761.63,1004.0
7,54.6,753.6,1032.0
8,55.15,744.17,1059.0
9,57.12,737.05,1086.0
10,57.9,730.53,1114.0
11,60.84,724.26,1142.0
12,61.57,716.75,1170.0
13,62.61,709.7,1198.0
14,63.27,703.63,1226.0
15,63.8,696.3,1254.0
16,65.45,691.09,1282.0
17,65.28,685.0,1310.0
18,66.68,680.68,1338.0
19,67.62,674.88,1365.0
20,67.3,670.17,1391.0
21,68.12,665.1,1418.0
22,69.04,660.87,1444.0
23,69.57,655.99,1470.0
24,68.5,651.52,1494.0
25,69.81,648.1,1520.0
26,69.82,644.15,1544.0
27,70.78,639.22,1567.0
28,70.55,635.98,1590.0
29,71.14,633.96,1613.0
30,70.26,631.85,1635.0
31,70.86,628.81,1656.0
32,71.53,627.24,1678.0
33,70.69,625.48,1700.0
34,70.77,622.63,1718.0
35,71.55,621.51,1739.0
36,71.69,620.4,1759.0
37,72.01,618.64,1779.0
38,70.52,616.92,1797.0
39,71.0,616.36,1817.0
40,71.7,615.08,1837.0
41,72.38,613.91,1855.0
42,71.64,612.36,1871.0
43,71.97,613.17,1892.0
44,72.19,610.97,1909.0
45,70.98,610.14,1926.0
46,72.34,609.84,1943.0
47,72.8,610.31,1963.0
48,71.7,608.84,1980.0
49,71.88,609.05,2000.0
50,72.3,607.81,2017.0
51,72.62,606.7,2033.0
52,71.78,606.31,2049.0
53,72.33,606.28,2067.0
54,72.07,606.05,2086.0
55,72.2,605.3,2103.0
56,71.86,605.26,2122.0
57,72.13,604.23,2138.0
58,72.2,603.73,2154.0
59,72.39,603.57,2171.0
60,72.86,603.68,2189.0
61,72.36,603.28,2208.0
62,72.8,603.09,2225.0
63,72.39,601.66,2240.0
64,72.03,601.72,2257.0
65,72.65,601.36,2272.0
66,72.34,601.8,2292.0
67,72.91,601.2,2308.0
68,73.2,601.02,2325.0
69,72.5,600.13,2338.0
70,72.57,600.24,2356.0
71,72.41,599.99,2372.0
72,72.88,599.45,2387.0
73,73.03,599.68,2405.0
74,72.81,598.7,2419.0
75,72.53,598.62,2435.0
76,73.11,599.45,2456.0
77,72.88,598.06,2469.0
78,72.78,598.77,2487.0
79,72.37,598.22,2503.0
80,73.11,597.44,2517.0
81,73.04,597.89,2536.0
82,72.97,597.69,2553.0
83,72.31,597.56,2570.0
84,73.48,597.71,2587.0
85,73.39,596.94,2603.0
86,72.89,596.39,2617.0
87,72.85,596.75,2633.0
88,73.41,596.23,2648.0
89,72.79,595.98,2663.0
90,72.84,596.17,2679.0
91,72.98,596.29,2698.0
92,72.74,596.19,2714.0
93,73.02,596.08,2730.0
94,72.58,596.25,2748.0
95,73.32,595.34,2762.0
96,73.06,595.27,2780.0
97,72.98,594.57,2793.0
98,72.36,595.57,2812.0
99,72.66,595.36,2829.0
