epoch,training_acc,training_loss
0,67.45,494.12
1,76.7,303.72
2,79.4,237.07
3,80.67,199.04
4,81.93,175.77
5,83.13,157.62
6,84.06,143.28
7,84.47,131.11
8,84.79,120.98
9,84.35,112.89
10,85.03,103.76
11,85.62,98.25
12,88.93,44.03
13,89.12,24.37
14,89.51,15.62
15,89.09,10.66
16,89.12,7.89
17,89.27,5.84
18,89.29,4.8
19,89.26,3.75
20,88.82,4.21
21,88.66,4.54
22,88.67,4.54
23,89.04,2.59
24,89.11,1.98
25,89.08,1.76
26,89.27,1.56
27,89.42,1.49
28,89.22,1.37
29,89.23,1.39
30,89.24,1.32
31,89.26,1.31
32,89.37,1.22
33,89.2,1.2
34,89.26,1.13
35,89.21,1.21
36,89.25,1.17
37,89.31,1.11
38,89.33,1.16
39,89.25,1.13
40,89.2,1.15
41,89.28,1.07
42,89.2,1.08
43,89.22,1.08
44,89.21,1.16
45,89.35,1.11
46,89.24,1.13
47,89.25,1.14
48,89.41,1.07
49,89.15,1.14
